listen_id,user_id,track_id,listened_at,completed,source
L00000041,U0379,T002612,2023-11-08 23:12:50,True,app
L00000042,U0350,T006173,2023-04-19 23:35:20,False,web
L00000043,U0177,T003402,2024-03-05 05:49:20,True,app
L00000044,U0033,T001365,2022-03-08 19:05:17,True,app
L00000045,U0485,T009697,2024-02-20 07:24:31,False,web
L00000046,U0222,T001242,2024-09-15 00:21:36,True,api
L00000047,U0446,T003360,2024-07-07 03:08:07,True,api
L00000048,U0338,T008480,2023-05-18 08:31:45,False,app
L00000049,U0389,T006173,2024-02-23 04:31:45,False,widget
L00000050,U0379,T003167,2024-04-29 14:59:24,False,app
L00000051,U0097,T009653,2023-02-23 18:44:03,False,app
L00000052,U0181,T004795,2024-12-08 05:24:04,True,web
L00000053,U0233,T000190,2024-06-19 22:12:23,False,web
L00000054,U0248,T000096,2024-11-12 15:21:30,True,api
L00000055,U0021,T009266,2024-08-08 05:42:14,True,widget
L00000056,U0273,T002640,2023-05-10 20:38:46,True,web
L00000057,U0077,T007818,2023-03-14 07:00:33,True,app
L00000058,U0371,T000590,2024-11-29 09:54:29,True,app
L00000059,U0341,T001723,2023-06-28 20:49:34,True,web
L00000060,U0461,T008331,2024-12-12 12:37:13,True,api
L00000061,U0372,T009969,2023-11-13 19:59:27,True,web
L00000062,U0183,T000655,2024-03-25 04:17:57,True,app
L00000063,U0483,T001798,2024-02-18 20:02:21,True,web
L00000064,U0205,T006709,2024-06-03 06:21:38,True,app
L00000065,U0162,T004978,2022-06-09 16:11:24,True,api
L00000066,U0452,T004019,2022-05-05 23:26:12,True,api
L00000067,U0185,T002036,2022-11-19 15:48:50,True,app
L00000068,U0038,T009306,2022-10-23 22:59:19,False,app
L00000069,U0234,T001829,2023-06-25 21:56:04,True,widget
L00000070,U0397,T002577,2022-05-15 01:26:41,True,web
L00000071,U0094,T003230,2023-08-11 14:30:35,True,app
L00000072,U0231,T001600,2022-06-17 18:40:06,True,api
L00000073,U0064,T005007,2024-03-10 20:30:21,True,widget
L00000074,U0343,T003281,2024-05-01 01:19:32,False,web
L00000075,U0237,T005823,2024-11-28 17:25:44,True,app
L00000076,U0165,T003424,2022-08-13 03:35:21,False,web
L00000077,U0113,T001335,2022-04-01 02:11:34,True,app
L00000078,U0282,T008434,2023-02-18 21:36:52,True,app
L00000079,U0334,T004831,2024-03-08 14:48:26,False,widget
L00000080,U0470,T003204,2023-04-23 22:22:52,True,widget
L00000081,U0218,T000328,2022-08-16 04:54:10,False,app
L00000082,U0080,T005744,2022-03-16 21:01:48,True,web
L00000083,U0416,T007475,2022-06-27 14:46:38,False,web
L00000084,U0314,T006161,2024-08-01 03:05:53,False,web
L00000085,U0350,T007580,2024-06-17 03:31:00,True,web
L00000086,U0048,T001745,2024-07-15 01:12:05,True,widget
L00000087,U0156,T009671,2023-07-16 06:55:47,False,web
L00000088,U0383,T002147,2022-01-21 23:22:28,True,app
L00000089,U0416,T002597,2024-01-10 11:10:20,True,app
L00000090,U0217,T004831,2023-10-11 10:24:36,False,api
L00000091,U0402,T000085,2023-11-26 09:16:51,True,app
L00000092,U0420,T004360,2023-10-18 08:59:41,False,web
L00000093,U0193,T002037,2022-09-28 08:53:18,True,app
L00000094,U0449,T007025,2023-11-16 11:47:07,True,web
L00000095,U0144,T007128,2024-11-08 12:51:57,True,app
L00000096,U0119,T005989,2022-10-11 06:25:24,True,app
L00000097,U0341,T004134,2022-10-02 22:28:25,False,api
L00000098,U0318,T003089,2022-07-05 04:59:12,False,app
L00000099,U0069,T007935,2023-11-29 03:22:52,True,app
L00000100,U0416,T004809,2022-04-05 19:56:16,False,app
L00000101,U0099,T004655,2023-10-20 20:38:44,True,app
L00000102,U0402,T001272,2024-02-29 18:48:05,True,web
L00000103,U0003,T002270,2022-11-23 06:23:18,True,app
L00000104,U0398,T003393,2023-06-24 02:43:54,True,app
L00000105,U0393,T006525,2022-09-26 19:29:37,True,app
L00000106,U0390,T008099,2023-11-02 23:39:42,False,app
L00000107,U0332,T009969,2022-07-19 01:30:25,True,web
L00000108,U0235,T004178,2023-09-03 15:14:08,True,app
L00000109,U0352,T004457,2023-09-15 10:57:11,True,app
L00000110,U0138,T007240,2023-12-22 09:42:48,False,app
L00000111,U0390,T003193,2024-09-15 03:48:34,False,app
L00000112,U0277,T005055,2024-02-12 11:51:18,False,web
L00000113,U0229,T006448,2022-10-28 11:55:54,True,app
L00000114,U0252,T002368,2022-08-20 18:00:20,True,api
L00000115,U0284,T002640,2023-04-19 14:39:23,True,api
L00000116,U0018,T003360,2024-01-24 07:53:48,False,app
L00000117,U0069,T005493,2023-03-07 19:26:15,True,web
L00000118,U0122,T002612,2022-10-30 06:00:03,False,app
L00000119,U0057,T002147,2024-02-04 20:56:26,True,web
L00000120,U0219,T001731,2022-01-31 07:48:05,True,app
L00000121,U0334,T007787,2024-07-05 14:48:00,True,app
L00000122,U0327,T008607,2024-06-15 16:50:49,True,app
L00000123,U0235,T008905,2022-04-09 05:16:45,True,web
L00000124,U0427,T007888,2024-04-03 00:33:41,True,app
L00000125,U0282,T001591,2023-08-25 19:18:08,False,web
L00000126,U0039,T001083,2024-04-04 00:30:43,True,app
L00000127,U0382,T004786,2024-04-17 13:23:59,True,app
L00000128,U0287,T004913,2023-02-16 09:54:07,True,web
L00000129,U0317,T006807,2024-06-12 13:09:55,True,app
L00000130,U0282,T002304,2024-04-27 01:07:15,False,app
L00000131,U0276,T009210,2024-02-05 00:09:21,True,web
L00000132,U0045,T003089,2022-11-14 10:41:12,True,app
L00000133,U0279,T005502,2022-09-01 11:23:48,True,app
L00000134,U0397,T008374,2022-11-23 07:58:26,True,api
L00000135,U0151,T004930,2022-12-15 08:16:38,True,app
L00000136,U0301,T007058,2023-02-05 16:29:21,True,app
L00000137,U0015,T007025,2024-04-20 12:37:36,True,web
L00000138,U0173,T007590,2024-03-03 06:23:11,True,api
L00000139,U0218,T007818,2023-01-07 03:06:01,True,api
L00000140,U0491,T003902,2022-09-29 21:10:28,True,app
L00000141,U0107,T003402,2024-03-10 14:54:36,False,app
L00000142,U0138,T007741,2022-03-23 09:38:31,True,web
L00000143,U0204,T005516,2023-09-13 03:26:26,False,api
L00000144,U0496,T005809,2022-10-11 20:48:27,True,api
L00000145,U0426,T004041,2023-10-11 20:55:23,True,app
L00000146,U0017,T002056,2023-05-18 20:17:44,False,web
L00000147,U0116,T004457,2022-03-19 00:52:30,False,app
L00000148,U0410,T009577,2022-12-16 04:42:22,False,app
L00000149,U0029,T002858,2023-07-05 20:11:05,True,app
L00000150,U0427,T002632,2024-02-28 02:19:23,True,widget
L00000151,U0140,T001534,2024-10-05 21:15:50,True,app
L00000152,U0458,T004595,2022-03-26 18:01:01,True,app
L00000153,U0146,T002819,2024-02-05 19:38:41,True,web
L00000154,U0217,T006478,2023-12-20 06:12:50,False,app
L00000155,U0330,T001553,2022-01-07 23:35:00,True,web
L00000156,U0063,T002428,2022-12-10 14:50:50,False,app
L00000157,U0278,T000730,2022-06-02 07:18:03,True,app
L00000158,U0252,T000590,2022-07-21 07:18:33,False,app
L00000159,U0391,T007842,2022-12-29 16:52:14,True,app
L00000160,U0498,T008905,2022-09-13 09:34:08,True,app
L00000161,U0332,T007174,2023-10-30 04:01:50,True,web
L00000162,U0204,T008405,2022-08-06 10:08:28,False,app
L00000163,U0203,T001000,2022-06-10 22:16:42,True,app
L00000164,U0208,T008839,2024-07-31 17:35:09,False,api
L00000165,U0407,T004525,2023-07-28 21:32:31,True,app
L00000166,U0160,T007283,2022-11-20 12:28:09,False,api
L00000167,U0083,T005989,2024-06-19 18:30:07,True,widget
L00000168,U0167,T003340,2024-06-09 00:42:49,True,web
L00000169,U0011,T002560,2022-01-11 00:16:23,True,web
L00000170,U0053,T001348,2022-11-14 16:56:41,True,app
L00000171,U0045,T004041,2023-08-15 02:58:06,False,app
L00000172,U0385,T004655,2022-01-05 02:31:26,True,app
L00000173,U0361,T009718,2024-01-10 16:02:02,False,app
L00000174,U0348,T000571,2022-01-08 11:41:38,True,app
L00000175,U0230,T005605,2024-12-13 18:33:01,True,app
L00000176,U0358,T004956,2023-02-07 16:02:57,False,app
L00000177,U0080,T000455,2023-08-08 21:58:49,False,api
L00000178,U0450,T003246,2024-07-24 08:18:33,False,app
L00000179,U0250,T004160,2023-08-29 04:36:37,True,app
L00000180,U0469,T004655,2023-10-10 22:20:45,False,app
L00000181,U0076,T002354,2024-11-13 20:49:48,True,app
L00000182,U0248,T000556,2024-01-15 01:24:50,False,web
L00000183,U0348,T002886,2023-03-23 14:17:53,True,web
L00000184,U0247,T008015,2023-03-31 01:41:59,True,app
L00000185,U0223,T007775,2023-12-11 20:13:44,False,app
L00000186,U0083,T001955,2022-10-29 11:15:51,False,web
L00000187,U0190,T006118,2022-01-02 21:42:34,True,app
L00000188,U0119,T009078,2023-12-06 00:23:11,True,app
L00000189,U0150,T001824,2023-12-26 07:56:18,False,app
L00000190,U0341,T001466,2023-09-27 12:00:15,True,app
L00000191,U0315,T000455,2022-12-06 19:47:25,False,app
L00000192,U0303,T001835,2022-02-08 03:20:36,True,app
L00000193,U0180,T007842,2022-07-29 10:17:27,True,web
L00000194,U0479,T007842,2023-08-29 15:21:05,True,app
L00000195,U0043,T005055,2022-02-05 07:31:24,True,web
L00000196,U0171,T003271,2023-11-22 15:46:36,True,app
L00000197,U0059,T007775,2022-07-23 12:16:46,True,app
L00000198,U0169,T002036,2023-02-08 10:06:53,True,web
L00000199,U0480,T001627,2024-12-16 15:17:37,True,api
L00000200,U0183,T001000,2023-01-10 10:32:04,True,app
L00000201,U0454,T008253,2023-03-18 07:28:27,True,web
L00000202,U0247,T006683,2024-05-12 05:27:05,True,app
L00000203,U0349,T006034,2022-03-15 09:37:34,True,app
L00000204,U0228,T006802,2023-02-11 02:39:11,True,app
L00000205,U0132,T001717,2023-06-15 05:36:27,False,web
L00000206,U0382,T003756,2022-11-10 15:50:25,True,app
L00000207,U0484,T007842,2024-12-12 18:56:21,False,widget
L00000208,U0131,T008984,2024-05-09 06:04:04,True,api
L00000209,U0389,T004831,2022-03-05 01:37:45,False,app
L00000210,U0130,T001430,2024-12-14 09:40:11,True,app
L00000211,U0358,T009697,2022-08-08 08:47:38,True,app
L00000212,U0394,T003909,2022-07-22 08:11:21,False,app
L00000213,U0224,T003150,2024-03-30 15:26:16,True,web
L00000214,U0368,T001419,2023-02-19 09:08:29,False,app
L00000215,U0136,T000256,2022-02-12 17:45:49,False,app
L00000216,U0039,T005804,2022-01-03 20:56:32,False,app
L00000217,U0048,T005850,2024-02-06 22:02:17,False,app
L00000218,U0223,T002354,2023-06-16 21:04:41,True,web
L00000219,U0451,T001765,2023-05-30 17:45:24,False,app
L00000220,U0063,T004956,2022-11-06 16:52:49,True,app
L00000221,U0227,T004231,2022-08-23 16:52:59,True,widget
L00000222,U0352,T003065,2024-06-23 01:23:57,True,app
L00000223,U0101,T002270,2023-04-21 01:13:21,True,web
L00000224,U0360,T008331,2024-09-29 18:29:08,True,app
L00000225,U0152,T009743,2023-09-30 16:00:22,True,api
L00000226,U0404,T003360,2022-05-08 04:58:11,True,app
L00000227,U0289,T006525,2023-04-12 23:37:30,False,app
L00000228,U0273,T008405,2024-08-03 20:44:28,True,api
L00000229,U0088,T000475,2022-03-23 04:25:33,True,app
L00000230,U0231,T008905,2022-08-24 09:49:29,False,api
L00000231,U0428,T004786,2023-07-05 21:49:33,True,web
L00000232,U0009,T005241,2022-12-04 05:12:43,True,app
L00000233,U0379,T005040,2023-11-01 11:06:02,True,web
L00000234,U0246,T002417,2024-08-27 21:18:53,True,app
L00000235,U0359,T007460,2024-02-12 17:12:53,True,widget
L00000236,U0331,T006807,2023-02-04 22:39:24,True,api
L00000237,U0216,T001052,2024-06-15 15:07:33,True,api
L00000238,U0154,T005254,2022-01-19 11:12:35,False,api
L00000239,U0313,T009395,2024-04-02 20:29:41,True,app
L00000240,U0070,T008434,2022-02-26 17:27:57,True,app
L00000241,U0292,T006037,2022-07-19 10:40:06,False,app
L00000242,U0047,T002037,2023-01-05 18:04:34,True,app
L00000243,U0324,T003320,2022-05-28 22:49:08,True,api
L00000244,U0314,T001731,2024-08-26 10:32:57,False,app
L00000245,U0042,T007888,2023-12-01 23:21:43,True,app
L00000246,U0378,T007374,2022-04-08 02:21:50,True,app
L00000247,U0207,T008964,2024-02-19 21:56:02,False,app
L00000248,U0393,T000730,2022-08-03 03:41:49,True,api
L00000249,U0020,T009471,2024-03-25 16:07:40,False,web
L00000250,U0089,T009522,2024-11-25 05:40:36,True,web
L00000251,U0246,T006430,2022-03-10 16:19:38,False,app
L00000252,U0094,T008533,2023-03-27 13:28:38,True,app
L00000253,U0164,T004281,2023-11-26 09:59:01,False,app
L00000254,U0330,T003120,2024-08-13 13:08:56,True,app
L00000255,U0072,T001743,2023-12-19 22:19:30,True,app
L00000256,U0338,T000556,2023-02-24 19:18:20,True,app
L00000257,U0051,T000590,2022-02-24 16:09:16,True,web
L00000258,U0087,T006491,2023-07-22 13:05:45,True,app
L00000259,U0293,T003277,2023-04-29 17:57:06,True,app
L00000260,U0396,T000684,2024-11-02 21:29:43,False,app
L00000261,U0085,T001272,2023-07-05 17:20:30,True,web
L00000262,U0149,T006330,2024-11-13 05:38:15,False,app
L00000263,U0462,T009266,2023-09-09 01:42:59,False,app
L00000264,U0494,T004019,2022-07-01 06:15:28,True,web
L00000265,U0290,T007357,2022-04-01 14:21:01,True,app
L00000266,U0223,T009671,2024-01-12 01:07:38,False,app
L00000267,U0173,T006620,2022-07-26 02:05:44,False,app
L00000268,U0306,T006709,2023-04-10 12:25:24,False,web
L00000269,U0295,T006004,2024-01-27 11:11:43,True,app
L00000270,U0147,T009697,2022-06-13 23:46:19,True,app
L00000271,U0011,T002998,2022-05-06 05:39:27,True,app
L00000272,U0075,T007476,2022-01-29 05:19:34,True,app
L00000273,U0479,T004065,2022-12-16 04:18:18,True,api
L00000274,U0209,T001745,2023-07-11 00:53:20,False,app
L00000275,U0241,T006901,2023-03-16 06:04:34,False,api
L00000276,U0233,T007935,2022-04-13 15:21:09,True,app
L00000277,U0391,T008333,2023-09-09 02:20:10,False,app
L00000278,U0032,T009078,2024-10-24 12:21:15,False,app
L00000279,U0041,T006939,2022-09-08 19:43:19,False,app
L00000280,U0137,T004956,2022-10-01 16:26:30,False,widget
L00000281,U0243,T009266,2022-02-21 13:45:14,True,web
L00000282,U0335,T002147,2022-06-21 17:18:42,True,api
L00000283,U0245,T000897,2024-03-06 09:10:43,False,app
L00000284,U0220,T004229,2023-09-20 16:33:54,True,app
L00000285,U0468,T005516,2023-07-10 21:36:04,True,app
L00000286,U0080,T006463,2022-04-08 01:37:25,False,app
L00000287,U0285,T007842,2023-02-18 04:56:56,False,app
L00000288,U0271,T000475,2023-09-05 23:18:50,True,app
L00000289,U0236,T007740,2023-11-21 09:56:44,False,web
L00000290,U0403,T005758,2024-11-29 12:13:00,True,app
L00000291,U0133,T009371,2022-08-05 11:12:16,False,app
L00000292,U0476,T003340,2024-09-09 06:24:35,True,app
L00000293,U0165,T006016,2023-06-22 08:55:12,True,widget
L00000294,U0272,T007256,2023-04-25 19:26:40,True,web
L00000295,U0260,T004861,2024-11-20 15:47:15,True,web
L00000296,U0424,T001745,2022-11-04 08:46:54,True,web
L00000297,U0219,T000627,2024-05-09 07:24:38,True,app
L00000298,U0142,T001272,2023-09-02 23:34:35,False,app
L00000299,U0010,T004655,2023-01-02 11:54:13,True,app
L00000300,U0181,T006100,2022-10-04 13:56:07,True,web
L00000301,U0413,T005436,2024-09-26 08:11:25,True,web
L00000302,U0004,T006673,2024-05-08 01:41:34,False,widget
L00000303,U0448,T000571,2024-08-15 23:40:35,False,app
L00000304,U0271,T001576,2024-04-19 03:49:31,True,web
L00000305,U0070,T007155,2022-10-25 06:07:43,True,app
L00000306,U0151,T007435,2024-09-03 22:46:19,True,app
L00000307,U0277,T006535,2024-10-19 22:45:05,False,app
L00000308,U0157,T006961,2024-04-28 02:40:37,True,app
L00000309,U0054,T009471,2023-06-16 11:01:55,True,web
L00000310,U0332,T009306,2023-07-20 22:14:40,True,web
L00000311,U0336,T006118,2024-10-18 10:36:07,True,app
L00000312,U0059,T003150,2023-01-05 16:37:37,True,app
L00000313,U0140,T000328,2023-08-25 21:23:59,True,api
L00000314,U0121,T006098,2024-09-22 20:18:01,True,app
L00000315,U0329,T004229,2022-04-16 22:18:51,True,app
L00000316,U0365,T001723,2023-09-18 08:42:41,False,app
L00000317,U0363,T002250,2022-06-02 09:24:12,True,web
L00000318,U0469,T009264,2024-07-20 22:32:37,True,app
L00000319,U0384,T000755,2023-06-30 03:40:32,True,app
L00000320,U0160,T007580,2023-09-04 19:42:45,False,app
L00000321,U0053,T008839,2022-01-28 04:38:20,True,app
L00000322,U0307,T006478,2022-02-03 13:15:34,True,app
L00000323,U0458,T000730,2024-04-21 09:44:56,True,app
L00000324,U0487,T008099,2024-11-17 16:20:36,True,app
L00000325,U0115,T006173,2022-12-03 21:42:32,False,app
L00000326,U0118,T002635,2023-10-22 18:41:00,False,app
L00000327,U0018,T006067,2022-02-04 06:45:57,True,app
L00000328,U0070,T001576,2022-05-03 19:10:38,True,widget
L00000329,U0277,T006620,2023-12-12 06:36:47,True,app
L00000330,U0273,T008864,2022-09-21 12:14:53,True,web
L00000331,U0185,T004913,2023-10-26 04:51:13,True,app
L00000332,U0154,T009352,2024-02-27 06:54:12,True,web
L00000333,U0414,T004281,2022-05-19 14:26:20,True,app
L00000334,U0230,T008331,2024-01-15 10:36:05,False,app
L00000335,U0404,T007333,2022-07-18 11:37:02,True,app
L00000336,U0481,T001000,2023-04-20 05:53:29,True,app
L00000337,U0158,T008964,2024-03-25 01:12:20,True,web
L00000338,U0101,T008964,2023-05-27 00:44:56,False,app
L00000339,U0476,T003340,2022-06-15 10:54:13,True,web
L00000340,U0317,T007643,2024-03-24 19:17:37,True,app
L00000341,U0145,T002314,2022-01-08 01:26:23,False,web
L00000342,U0310,T000552,2024-12-14 03:36:52,True,app
L00000343,U0257,T002147,2024-12-30 16:27:35,True,app
L00000344,U0452,T004608,2024-08-04 19:48:53,True,app
L00000345,U0127,T000692,2022-11-14 17:46:22,True,app
L00000346,U0495,T001765,2022-02-14 23:33:22,True,web
L00000347,U0468,T009350,2024-09-02 16:50:20,True,app
L00000348,U0090,T004655,2024-02-11 01:37:35,True,app
L00000349,U0082,T007888,2023-03-30 09:55:11,False,app
L00000350,U0266,T002105,2022-09-12 00:42:39,True,web
L00000351,U0022,T001000,2024-11-20 05:47:48,True,app
L00000352,U0149,T007431,2023-03-13 18:09:16,True,web
L00000353,U0217,T003340,2023-04-16 17:20:09,False,web
L00000354,U0484,T004499,2024-05-20 12:04:49,False,app
L00000355,U0496,T009954,2024-03-31 11:41:02,False,app
L00000356,U0075,T003150,2023-03-14 04:45:57,True,web
L00000357,U0445,T004594,2024-11-23 09:07:46,False,app
L00000358,U0045,T006098,2023-05-25 22:28:11,True,web
L00000359,U0374,T001000,2022-11-06 03:13:27,True,web
L00000360,U0422,T006695,2022-08-02 18:39:11,False,app
L00000361,U0445,T004448,2022-02-02 12:31:06,True,widget
L00000362,U0111,T001843,2022-03-28 21:39:45,True,app
L00000363,U0446,T004229,2023-05-07 06:15:07,True,app
L00000364,U0057,T004499,2024-12-08 12:24:17,True,app
L00000365,U0259,T006115,2024-04-13 14:41:05,True,app
L00000366,U0234,T009264,2022-07-17 22:20:47,True,app
L00000367,U0157,T007218,2023-09-10 14:00:11,True,app
L00000368,U0011,T003733,2023-03-13 16:34:50,True,web
L00000369,U0386,T009578,2024-07-03 14:30:05,True,api
L00000370,U0167,T007590,2022-10-06 12:52:58,True,app
L00000371,U0330,T000475,2022-10-20 00:59:52,True,web
L00000372,U0205,T001335,2024-01-25 17:26:30,True,app
L00000373,U0186,T002270,2022-03-16 09:19:33,True,app
L00000374,U0443,T000946,2022-11-04 14:45:25,True,web
L00000375,U0047,T004608,2022-08-30 21:44:48,True,app
L00000376,U0368,T003281,2023-04-12 18:39:11,True,web
L00000377,U0373,T009671,2022-09-08 11:22:37,True,web
L00000378,U0189,T004589,2024-06-29 22:40:57,False,app
L00000379,U0131,T002164,2023-01-03 02:40:11,False,api
L00000380,U0002,T009671,2023-01-26 14:32:31,False,app
L00000381,U0468,T004831,2022-12-08 09:40:29,True,app
L00000382,U0473,T000896,2023-04-11 00:26:52,True,app
L00000383,U0120,T000946,2022-09-14 11:18:28,True,web
L00000384,U0015,T006448,2024-03-13 19:55:27,True,widget
L00000385,U0061,T004655,2022-05-14 09:40:39,True,app
L00000386,U0033,T006034,2022-04-05 09:32:28,True,web
L00000387,U0415,T008253,2023-07-26 09:44:44,True,web
L00000388,U0445,T006473,2023-06-16 16:55:57,False,api
L00000389,U0076,T008333,2024-02-18 23:34:49,True,app
L00000390,U0373,T006939,2022-04-15 13:34:58,True,app
L00000391,U0089,T006430,2024-09-21 14:50:39,True,web
L00000392,U0183,T001553,2023-10-03 04:08:08,True,api
L00000393,U0299,T004608,2022-10-29 23:11:46,True,widget
L00000394,U0359,T004231,2024-04-17 00:09:04,True,app
L00000395,U0437,T005062,2023-12-25 06:55:25,False,app
L00000396,U0022,T003842,2024-09-22 20:21:23,True,web
L00000397,U0098,T006016,2023-08-01 16:16:54,False,app
L00000398,U0140,T003902,2024-01-27 06:51:59,True,app
L00000399,U0155,T005241,2024-08-25 20:28:28,False,api
L00000400,U0499,T003909,2024-06-23 08:54:42,False,widget
L00000401,U0388,T008839,2024-02-01 02:14:35,False,web
L00000402,U0160,T003472,2023-02-20 23:11:55,True,api
L00000403,U0485,T006807,2022-07-20 08:01:02,True,web
L00000404,U0249,T005899,2022-02-05 01:21:37,True,web
L00000405,U0250,T003756,2022-10-19 15:09:05,True,web
L00000406,U0216,T007775,2023-05-30 21:21:18,True,app
L00000407,U0071,T009180,2023-11-15 19:25:40,True,api
L00000408,U0467,T007153,2022-07-29 18:29:59,False,app
L00000409,U0006,T009350,2024-04-02 13:03:53,False,web
L00000410,U0087,T004252,2024-08-07 22:15:32,True,web
L00000411,U0114,T008964,2022-03-28 04:13:43,False,app
L00000412,U0139,T008480,2024-07-28 23:10:16,True,web
L00000413,U0065,T007155,2023-12-09 18:44:43,True,web
L00000414,U0008,T007979,2022-03-19 23:28:08,True,app
L00000415,U0338,T006807,2022-07-06 14:36:32,True,web
L00000416,U0484,T004831,2024-03-29 17:24:17,False,app
L00000417,U0060,T005229,2024-10-29 12:22:38,True,api
L00000418,U0148,T004108,2024-03-21 14:45:37,True,app
L00000419,U0253,T006310,2024-11-21 07:31:05,True,app
L00000420,U0463,T003230,2023-02-03 10:08:22,False,app
L00000421,U0347,T006901,2024-07-29 19:48:24,False,app
L00000422,U0383,T004809,2024-07-31 14:00:45,False,web
L00000423,U0290,T003360,2024-07-31 06:50:56,True,app
L00000424,U0208,T001723,2022-01-17 09:50:35,False,api
L00000425,U0099,T002531,2024-11-18 10:45:01,True,web
L00000426,U0432,T006115,2023-07-26 22:54:00,False,app
L00000427,U0402,T003424,2022-11-10 05:50:38,True,app
L00000428,U0012,T000556,2024-04-04 17:14:13,True,app
L00000429,U0357,T003246,2023-07-27 06:18:30,True,app
L00000430,U0042,T003402,2023-02-20 06:11:48,True,app
L00000431,U0369,T002354,2022-05-27 14:59:35,True,app
L00000432,U0412,T002747,2024-05-30 22:19:52,True,app
L00000433,U0065,T006592,2023-05-15 12:25:00,True,app
L00000434,U0216,T006988,2023-11-02 06:47:50,True,widget
L00000435,U0061,T009398,2022-04-25 14:19:52,True,app
L00000436,U0283,T001341,2022-10-24 21:45:03,True,app
L00000437,U0463,T003120,2024-01-28 08:56:58,True,web
L00000438,U0040,T000897,2022-11-18 12:25:44,False,app
L00000439,U0198,T005856,2022-03-24 20:29:32,True,app
L00000440,U0486,T000328,2022-11-11 15:37:48,False,app
L00000441,U0150,T002056,2024-07-30 05:26:34,True,app
L00000442,U0066,T005530,2024-11-15 01:16:56,True,app
L00000443,U0244,T003393,2024-07-21 11:18:31,True,api
L00000444,U0254,T005062,2023-02-14 23:58:06,False,widget
L00000445,U0331,T006115,2024-11-23 08:28:59,True,app
L00000446,U0156,T008022,2024-07-08 08:13:06,True,web
L00000447,U0477,T003909,2022-01-30 19:37:10,False,app
L00000448,U0260,T002640,2023-01-25 23:47:05,True,app
L00000449,U0143,T005017,2024-06-15 09:09:40,False,api
L00000450,U0480,T000846,2022-07-18 08:35:58,False,app
L00000451,U0462,T000590,2022-11-17 15:58:57,True,web
L00000452,U0249,T004448,2024-11-25 19:19:42,True,app
L00000453,U0012,T002270,2022-08-03 11:42:40,True,app
L00000454,U0298,T000135,2024-03-16 01:48:23,True,web
L00000455,U0277,T006451,2024-04-01 20:35:16,True,app
L00000456,U0074,T007842,2022-10-19 14:55:23,True,app
L00000457,U0316,T001723,2022-05-12 11:18:22,True,app
L00000458,U0420,T005254,2022-04-24 04:27:37,True,web
L00000459,U0052,T009743,2024-08-16 23:54:56,True,web
L00000460,U0361,T002612,2022-09-20 09:38:17,True,web
L00000461,U0070,T006807,2024-08-16 11:40:15,True,app
L00000462,U0374,T001765,2023-07-07 15:34:52,False,web
L00000463,U0209,T009215,2023-09-01 18:39:13,True,app
